Table S3: 242 DEGs between control normal and SLE samples,,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
KCNH6,-1.168504466,3.480307855,-8.542378898,1.72E-16,3.99E-15,26.78237363
LAMP3,0.743531945,4.695302712,8.539264237,1.76E-16,4.07E-15,26.75945747
RNF139,0.982516488,5.453294435,8.519305398,2.05E-16,4.61E-15,26.612756
SERPINA10,-0.856696632,2.971820965,-8.5090096,2.21E-16,4.95E-15,26.53717865
NUBPL,-1.162795449,3.365406457,-8.502627294,2.32E-16,5.15E-15,26.4903625
SAMHD1,0.723148538,5.539130742,8.489964325,2.55E-16,5.60E-15,26.3975525
FKTN,-1.163659906,4.045308999,-8.471151042,2.93E-16,6.34E-15,26.25985391
DMC1,-1.262403009,3.397161196,-8.453520091,3.35E-16,7.12E-15,26.13101403
LOC440434,0.966965973,5.470051574,8.444561608,3.58E-16,7.57E-15,26.06562516
XPNPEP3,-0.96219605,4.423851074,-8.439650672,3.71E-16,7.81E-15,26.02980152
BZW1,0.948000719,5.970678669,8.428183016,4.04E-16,8.38E-15,25.94620893
APOL1,0.940077604,5.054420673,8.413506125,4.51E-16,9.13E-15,25.83934584
ZNF674,-1.934984422,2.817990022,-8.390082168,5.37E-16,1.06E-14,25.66908145
PGF,0.812699549,4.837622486,8.366983699,6.37E-16,1.23E-14,25.50152864
IL2RG,0.76424616,6.383041444,8.358958183,6.76E-16,1.29E-14,25.44339326
IL10,-1.089151161,3.574206443,-8.317221947,9.21E-16,1.71E-14,25.14173451
SAE1,-0.807842012,4.772115278,-8.310618847,9.67E-16,1.78E-14,25.09411233
LTF,0.998343189,5.766031591,8.290144912,1.12E-15,2.03E-14,24.94663224
LBR,0.790660182,6.53705585,8.276118308,1.25E-15,2.23E-14,24.84575149
DND1,0.785542692,5.18402917,8.27267337,1.28E-15,2.28E-14,24.82099473
KDM5A,0.869844728,5.060274287,8.261259016,1.39E-15,2.45E-14,24.73902165
HDDC2,-0.708262942,4.757189446,-8.252563075,1.48E-15,2.60E-14,24.67662806
ANXA2P2,-0.86959402,5.589723748,-8.230951799,1.74E-15,2.97E-14,24.52178038
HIST1H3F,-0.783520617,3.389741095,-8.213729123,1.97E-15,3.33E-14,24.39859623
SART1,0.718779663,5.236188473,8.198644171,2.20E-15,3.65E-14,24.29086161
PTPN1,-0.740994483,4.258448473,-8.195128683,2.26E-15,3.74E-14,24.26577592
KLF9,-0.709483723,4.27720155,-8.176746512,2.58E-15,4.21E-14,24.13473725
MTA2,-0.729069016,3.547291434,-8.160886159,2.90E-15,4.64E-14,24.02185405
C5AR1,0.730263055,6.596266709,8.152395545,3.08E-15,4.90E-14,23.96149169
MXI1,1.033192726,6.294977332,8.143839186,3.28E-15,5.18E-14,23.90070999
FCGR3B,1.091781306,6.826780703,8.10601418,4.31E-15,6.58E-14,23.63259208
S100P,1.08862633,6.373271294,8.105563798,4.33E-15,6.59E-14,23.6294053
TAF9B,0.781800344,4.275996908,8.060115893,6.01E-15,8.75E-14,23.30852009
SQSTM1,-0.730805167,4.950216391,-8.059942256,6.02E-15,8.75E-14,23.30729676
FBXL4,0.75891327,4.150139567,8.059682493,6.03E-15,8.75E-14,23.30546667
PRR11,0.71277915,5.613461133,8.05721138,6.14E-15,8.86E-14,23.2880594
AMPD2,1.145261432,5.664148897,8.038165264,7.04E-15,1.00E-13,23.15402912
PLCB3,0.801442812,4.941666423,8.013104423,8.43E-15,1.18E-13,22.97804078
SLC12A7,0.822862446,5.08786495,8.004122711,8.99E-15,1.25E-13,22.9150693
CBFA2T3,0.762899779,5.232010374,7.978183384,1.08E-14,1.47E-13,22.73350971
ORAI3,0.854579111,5.820164602,7.973014755,1.12E-14,1.51E-13,22.6973863
TNFSF15,-0.71290589,2.867448633,-7.937370757,1.45E-14,1.90E-13,22.4487597
HNRNPA1,0.73134016,6.039613362,7.918691786,1.66E-14,2.14E-13,22.31881009
IL18,-1.176575271,4.254676039,-7.917290259,1.67E-14,2.16E-13,22.30906914
FKBP9,0.760755148,4.743904518,7.890109299,2.03E-14,2.55E-13,22.12041729
RPS7,0.762472348,6.795726561,7.841921504,2.85E-14,3.48E-13,21.78719436
CRISP3,0.928041389,4.262441278,7.80929941,3.59E-14,4.29E-13,21.5625046
BIRC7,0.710531779,4.414802445,7.735217581,6.04E-14,6.77E-13,21.05495131
SNX15,0.76901354,5.547464241,7.708739525,7.27E-14,7.93E-13,20.87445572
PABPC3,0.772383592,6.400839777,7.668428546,9.63E-14,1.02E-12,20.60059039
TECPR2,0.828194853,4.879699302,7.661341967,1.01E-13,1.07E-12,20.55256134
CD177,0.763520802,4.366295597,7.611074577,1.43E-13,1.47E-12,20.21287332
OPHN1,1.43782628,6.521065233,7.594308775,1.61E-13,1.62E-12,20.09996611
GNG10,0.714529528,6.544156227,7.587677108,1.68E-13,1.69E-12,20.0553599
ZNF267,0.875404569,5.232840233,7.572266935,1.87E-13,1.86E-12,19.95182553
MYO15B,0.709020874,4.82360262,7.567283509,1.94E-13,1.91E-12,19.91837942
